index,x,d,err_taylor,err_pade,log_err_taylor,log_err_pade
564,-0.9998478814,0.0001521186,5.863,4.233,1.7687301187,1.4429783427
565,-0.9998496245,0.0001503755,5.875,4.245,1.7706907131,1.4456724853
566,-0.9998513475,0.0001486525,5.886,4.256,1.7726475051,1.4483596675
567,-0.9998530508,0.0001469492,5.898,4.268,1.7746005088,1.4510399225
568,-0.9998547346,0.0001452654,5.909,4.279,1.7765497388,1.4537132838
569,-0.9998563991,0.0001436009,5.921,4.29,1.7784952092,1.4563797841
570,-0.9998580445,0.0001419555,5.932,4.302,1.7804369342,1.4590394563
571,-0.9998596711,0.0001403289,5.944,4.313,1.782374928,1.461692333
572,-0.999861279,0.000138721,5.955,4.325,1.7843092044,1.4643384464
573,-0.9998628685,0.0001371315,5.967,4.336,1.7862397774,1.4669778288
574,-0.9998644398,0.0001355602,5.978,4.348,1.7881666609,1.4696105119
575,-0.9998659931,0.0001340069,5.99,4.359,1.7900898687,1.4722365276
576,-0.9998675286,0.0001324714,6.001,4.37,1.7920094145,1.4748559073
577,-0.9998690465,0.0001309535,6.013,4.382,1.793925312,1.4774686823
578,-0.999870547,0.000129453,6.025,4.393,1.7958375746,1.4800748838
579,-0.9998720303,0.0001279697,6.036,4.405,1.7977462159,1.4826745426
580,-0.9998734966,0.0001265034,6.048,4.416,1.7996512493,1.4852676895
581,-0.9998749461,0.0001250539,6.059,4.428,1.8015526881,1.4878543549
582,-0.999876379,0.000123621,6.071,4.439,1.8034505457,1.4904345692
583,-0.9998777955,0.0001222045,6.082,4.45,1.8053448352,1.4930083624
584,-0.9998791958,0.0001208042,6.094,4.462,1.8072355697,1.4955757645
585,-0.99988058,0.00011942,6.105,4.473,1.8091227624,1.4981368052
586,-0.9998819483,0.0001180517,6.117,4.485,1.8110064262,1.500691514
587,-0.999883301,0.000116699,6.128,4.496,1.812886574,1.5032399204
588,-0.9998846382,0.0001153618,6.14,4.508,1.8147632187,1.5057820534
589,-0.99988596,0.00011404,6.151,4.519,1.8166363731,1.5083179421
590,-0.9998872667,0.0001127333,6.163,4.531,1.8185060499,1.5108476152
591,-0.9998885585,0.0001114415,6.174,4.542,1.8203722618,1.5133711013
592,-0.9998898354,0.0001101646,6.186,4.553,1.8222350213,1.5158884289
593,-0.9998910977,0.0001089023,6.197,4.565,1.824094341,1.5183996263
594,-0.9998923455,0.0001076545,6.209,4.576,1.8259502333,1.5209047214
595,-0.9998935791,0.0001064209,6.22,4.588,1.8278027105,1.5234037422
596,-0.9998947985,0.0001052015,6.232,4.599,1.8296517852,1.5258967164
597,-0.9998960039,0.0001039961,6.243,4.611,1.8314974694,1.5283836716
598,-0.9998971955,0.0001028045,6.255,4.622,1.8333397754,1.5308646351
599,-0.9998983735,0.0001016265,6.266,4.634,1.8351787153,1.5333396341
600,-0.999899538,0.000100462,6.278,4.645,1.8370143012,1.5358086956
601,-0.9999006891,0.0000993109,6.289,4.657,1.8388465451,1.5382718465
602,-0.999901827,0.000098173,6.301,4.668,1.840675459,1.5407291136
603,-0.9999029519,0.0000970481,6.312,4.679,1.8425010546,1.5431805232
604,-0.9999040639,0.0000959361,6.324,4.691,1.8443233439,1.5456261018
605,-0.9999051632,0.0000948368,6.335,4.702,1.8461423386,1.5480658755
606,-0.9999062498,0.0000937502,6.347,4.714,1.8479580504,1.5504998705
607,-0.9999073241,0.0000926759,6.358,4.725,1.8497704909,1.5529281125
608,-0.999908386,0.000091614,6.37,4.737,1.8515796717,1.5553506273
609,-0.9999094357,0.0000905643,6.381,4.748,1.8533856044,1.5577674404
610,-0.9999104734,0.0000895266,6.393,4.76,1.8551883003,1.5601785772
611,-0.9999114993,0.0000885007,6.404,4.771,1.8569877709,1.562584063
612,-0.9999125133,0.0000874867,6.416,4.783,1.8587840276,1.5649839227
613,-0.9999135158,0.0000864842,6.427,4.794,1.8605770815,1.5673781815
614,-0.9999145067,0.0000854933,6.439,4.806,1.862366944,1.5697668639
615,-0.9999154863,0.0000845137,6.45,4.817,1.8641536262,1.5721499947
616,-0.9999164547,0.0000835453,6.462,4.828,1.8659371392,1.5745275982
617,-0.999917412,0.000082588,6.474,4.84,1.8677174941,1.5768996989
618,-0.9999183583,0.0000816417,6.485,4.851,1.8694947019,1.5792663209
619,-0.9999192938,0.0000807062,6.497,4.863,1.8712687734,1.5816274882
620,-0.9999202186,0.0000797814,6.508,4.874,1.8730397197,1.5839832246
621,-0.9999211327,0.0000788673,6.52,4.886,1.8748075515,1.586333554
622,-0.9999220364,0.0000779636,6.531,4.897,1.8765722796,1.5886784998
623,-0.9999229297,0.0000770703,6.543,4.909,1.8783339148,1.5910180856
624,-0.9999238128,0.0000761872,6.554,4.92,1.8800924676,1.5933523346
625,-0.9999246858,0.0000753142,6.566,4.932,1.8818479488,1.59568127
626,-0.9999255488,0.0000744512,6.577,4.943,1.8836003689,1.5980049147
627,-0.9999264019,0.0000735981,6.589,4.955,1.8853497383,1.6003232918
